Name,P/E,DIV-YLD,CMP/BV,ROA,CURRENTRATIO,PROFITGROWTH,DEBT-EQ,ROE,QUICKRATIO,ASSET-TO,INVEN-TO,PAT,LEVERAGE,EARNINGSYEILDS,ROCE,INT-COVERAGE,EV,EBITDA,CMP-FCF,CMP-SALES,PEG,SALESGROWTH,PLEDGED,SALES,OPM,MAR-CAP,EPS,DEBT,PROM-HOLD,RETURN
B P Capital,,0,0.67,-1.65,2,-7.69,0.2,-2.96,2,0,,-0.14,1.82,-3.46,-2.5,-1.76,49.63,-310.19,-2.83,2.77,,-42.43,0,13.46,-1.63,37.28,-2.09,12.74,54.29,-9.39
Palash Securi.,,0,0.31,-3.17,2.08,42.03,0.06,-2.22,1.3,0.08,1.6,-9.16,1.03,-5.11,-2.5,-2.9,-221.79,5.76,-10.24,13.08,,-71.07,0,29.94,-224.52,391.56,-0.49,75.95,1.98,38.91
Global Longlife,,0,1.44,-3.62,0.32,-216.39,0.49,-4.72,0.28,0.23,2.75,-2.13,2.27,-2.84,-2.51,-0.51,29.48,-2948,-39.13,3.17,,-16.98,0,6.11,-0.82,19.36,-1.51,10.43,51.44,-6.33
KBC Global,,0,0.28,-3.29,12.64,-220.67,0.08,-3.97,10.79,-0.02,0,-51.98,1.22,17.7,-2.54,-0.91,131.55,-53.91,-13.87,237.24,,-42.5,0,0.46,-613.04,109.13,-1.09,24.13,67.43,-7.2
Norben Tea,,0,1.51,-6.6,0.32,-2850,0.8,-12.16,0.17,0.26,1.33,-1.77,1.97,-2.01,-2.57,-1.21,332.97,49.92,15.3,1.38,,-11.12,0,233.79,1.95,323.7,-1,43.12,74.66,44.91
Cinevista,,0,1.28,-4.25,0.28,78.55,0.29,-8.73,0.05,0,0,-6.26,2.15,-1.99,-2.58,,98.8,-520,-14812.88,,,-100,0,0,,98.75,-1.27,0.05,74.98,-8.68
Lords Chloro,,0,1.97,-1.9,2.61,-108.17,0.26,-2.85,1.95,0.88,10.91,-2.52,1.52,-0.82,-2.62,3.79,9.6,5.27,19.38,2.09,,-23.32,0,4.21,37.53,8.79,1.98,3.63,60.78,-19.04
Virya Resources,,0,17.86,-4.58,4.03,-111.11,0.01,-5.11,4.03,0,,-0.19,1.15,-0.19,-2.62,-4.14,45.21,94.19,-30.16,2.23,,2.44,0,21,1.14,46.91,-0.6,1.81,67.79,-9.57
Dr Lalchand. Lab,10.27,0,0.91,-4.65,1.94,226.47,0.37,-8.23,1.67,0.29,1.47,0.86,1.71,12.97,-2.68,-1.4,264.81,-54.6,128.36,0.34,,-19.96,0,427.56,-1.27,145.5,-16.09,120.16,67.2,-30.24
Tapi Fruit,,0,4.06,-3.05,5.4,-105.56,0.16,-3.82,4.19,1.73,7.99,-0.37,1.05,-0.64,-2.68,,63.46,-31.89,12.49,178,,-4.17,0,0.23,-865.22,40.94,-1.33,22.63,74.96,-30.08
Ludlow Jute,,0,0.89,-3.43,0.94,-3636.73,0.73,-7.33,0.25,1.3,2.27,-17.33,2.22,-5.3,-2.74,,35.71,-18.89,,141.21,,50,0,0.24,-991.67,33.89,-0.05,2.54,11.15,62.94
Genus Prime,,0,0.83,-2.79,6,-20000,0.48,-4.09,6,0,,-1.99,1.52,-3.23,-2.8,-1.19,66.1,661,-60.89,1.43,,-0.58,0,41.38,0.1,59.16,-2.7,7.41,3.3,71.01
Virtual Global,,0,0.55,-2.29,4.91,-461.11,0.04,-2.93,4.91,0,,-1.95,1.3,-5.49,-2.8,-0.37,27.33,-195.21,-8.05,10.96,,77.06,0,1.93,-9.33,21.15,-2.11,6.79,40.96,-15.79
M M Rubber,,0,3.19,-5.31,1.15,-176.02,0.41,-8.81,0.42,1.27,3.16,-1.68,1.73,-1.25,-2.83,71.94,907.15,13,-9.05,0.73,1.51,10.63,0,1309.95,-0.48,952.23,12.18,3.88,73.92,-24.76
S I Cap. & Fin.,,0,5.72,-8.89,1.86,-285.71,2.29,-23.49,1.86,0.21,,-0.81,2.73,-0.8,-2.89,-0.12,86.95,27.17,1.88,0.35,,-6.25,51.21,182.29,0.66,64.66,-2.04,40.58,74.34,56.67
Sastasundar Ven.,25.14,0,1.26,0.49,4.51,173.78,0.01,0.77,3.04,1.22,8.34,38,1.55,6.72,-2.95,-1.29,253.31,-204.28,-837.1,1.73,,-7.92,0,133.64,-1.21,231.5,-2.45,22.39,68.71,-7.02
GTN Industries,,0,0.73,-4.09,2.68,1.11,0.46,-6.69,1.43,1.23,3.59,-3.57,1.71,-0.6,-2.98,-0.81,189.46,-203.72,23.64,2.13,,-28.12,0,81.3,-1.21,172.8,-1.79,16.68,74.57,-4.21
Indokem,,0,4.09,-4.55,1.07,-7311.11,0.43,-9.86,0.58,1.21,4.63,-6.49,2.21,-1.54,-3.01,,329.96,-239.1,-113.76,,,,56.92,0,,28.83,-1.3,306.67,14.55,-28.38
Coromandel Engg.,,0,52.21,-6.13,0.9,9.7,4.81,,0.71,1.29,3.08,-5.96,21.66,-1.21,-3.09,-0.86,3424.26,72.49,-17.35,1.68,,-29.19,0,1554.38,0.49,2607.71,-3.47,836.81,49.33,14.42
Vikas Wsp,,0,0.04,-1.79,0.89,17.79,0.38,-3.22,0.89,0,0,-26.66,1.83,-10.72,-3.13,0.13,475.42,15.8,0.34,0.14,,7.54,98.4,1016.55,1.11,141.68,-20.69,334.97,63.41,0.68
Meghmani Organi.,,0,1.66,-3.44,1.13,-211.84,0.55,-6.71,0.64,0.5,2.02,-88.29,2.04,-1.34,-3.13,-0.87,404.24,-80.85,32.17,1.83,,-11.16,23.08,179.74,-3.04,328.08,-1.58,80.52,49.59,30.95
Tulsyan NEC,,0,0.42,-7.4,0.88,77.68,0.97,-17.92,0.58,1.09,9.42,-34.49,2.6,1.07,-3.17,-0.63,1427.32,68.56,32.39,5.37,,-47.42,0,193.17,4.43,1037.13,-4.48,509.5,90,-25.26
VIP Clothing,,0,2.58,-4.55,1.36,-350.1,0.63,-9.49,0.63,0.66,1.32,-13.03,2.19,-1.93,-3.23,14,4.38,19.91,-642,4.23,,71.19,0,1.01,17.82,4.27,0.26,0.13,28.24,-15.81
Sical Logistics,,0,36.11,-8.7,0.76,-90.88,17.74,-165.1,0.75,0.28,0.57,-63.1,27.17,-1.79,-3.26,,3.83,-27.36,-73.42,52.43,,40,0,0.07,-200,3.67,-0.12,0.22,13.03,11.11
Dharani Finance,34.5,0,0.52,-3.2,4.21,200,0.02,-3.59,4.21,0.08,,0.13,1.09,3.05,-3.28,,25.4,-10.76,,35.63,,-89.97,0.39,0.67,-398.51,23.87,-1.69,1.66,41.43,78.17
Source Industrie,,0,0.86,-3.22,39.57,-75,0.05,-3.44,39.57,0.02,,-0.14,1.09,-3.66,-3.28,-12.46,19.81,-14.78,-1.81,1.58,,-73.2,0,9.3,-24.62,14.68,-0.6,5.27,10.96,5.92
Kamanwala Housin,,0,0.32,-3,4.57,71.73,0.02,-3.26,3.44,0.04,0.3,-2.38,1.1,-9.93,-3.29,-1.13,196.74,-104.65,-7.18,368.17,,-98.08,0,0.06,-3050,22.09,-1.57,174.87,48.17,20.68
7NR Retail Ltd,,0,0.49,-2.54,4.32,-989.47,0.18,-4,3.98,0.25,2.07,-1.69,1.6,-8.38,-3.31,-15.63,289.32,-642.93,133.18,83.9,,,20.22,3.27,-25.08,274.36,0.81,17.58,74.51,-4.34
Prag Bosimi Syn.,,0,,-4.98,1.62,5.49,21.44,,0.94,0,0.81,-11.71,-27.7,-3.17,-3.34,-0.23,556.07,59.73,-7.18,5.88,,-20.3,60.98,58.59,-32.22,344.41,11.1,220.16,61.93,5.99
CIL Nova Petro.,,0,3.15,-3.21,0.29,-10.85,0.2,-3.68,0.23,0,0.2,-2.86,1.14,-0.85,-3.35,-0.22,63.27,59.13,6.06,0.46,,8.14,0,95.2,0.77,44.2,-0.49,19.32,65.76,286.6
Quint Digital,,0,1.33,-6.96,0.79,27.57,0.87,-11.88,0.79,0.17,,-15.36,1.54,-0.72,-3.37,-19.67,39.01,-49.38,2.35,13.78,,-97.04,0,0.46,-171.74,6.34,-5.96,32.74,59.76,-54.59
STL Global,,0,1.75,-3.81,2.08,24.29,0.72,-9.16,1.48,1.28,6.44,-1.34,2.52,-0.39,-3.39,25.07,79.45,3.71,-1.86,9.23,,-71.49,0,4.16,-137.5,38.39,27.08,41.47,74.98,13.69
Advance Syntex,,0,1.06,-3.15,1.51,60.88,5.46,-15.8,0.59,0.02,0.07,-1.24,7.62,-3.02,-3.39,-1.49,112.63,-1126.3,-8.11,2.82,,-31.11,0,26.44,-2.12,74.65,-2.44,38.4,28.89,-3.71
MPDL Ltd,1.93,0,0.38,-3.86,1.78,536.3,0.41,-6.29,0.43,0.04,-0.13,20.07,1.74,26.99,-3.39,,20.1,-54.32,,,,,0,0,,2.34,-0.45,17.93,41.99,91.17
Marshall Machin.,,0,0.99,-3.65,1.45,-7.56,0.51,-9.4,0.79,0.19,0.41,-5.83,1.96,-4.34,-3.39,-1.3,33.64,-64.69,-19.05,6.32,,43.56,0,3.79,-20.32,23.96,-7.87,9.73,57.71,-42.15
Neogem India,,0,0.44,-1.91,1.14,31.48,3.35,-13.91,1.14,0,0,-0.37,7.82,-1.84,-3.4,-1.7,89.01,17.91,-46.1,0.47,,14.78,0,169.1,2.45,79.34,-2.57,10.3,74.94,2.88
Ironwood Educa,,0,4.01,-6.98,0.57,7.94,1.63,-16.62,0.57,0.19,,-1.74,3.55,-2.85,-3.47,-11.17,12.49,-30.46,-5.23,,,-100,0,0,,11.76,-3.24,0.77,68.99,17.67
Shiva Mills,,0,0.81,-3.07,2.28,82.32,0.11,-3.74,0.99,1.32,5.49,-2.22,1.24,-2.02,-3.48,-10.49,1748.98,-7949.91,-9.2,3.42,,14.06,0,545.7,-4.35,1867.47,-4.63,20.99,72.87,19.24
Rajasthan Cylind,,0,0.74,-3.16,2.4,67.42,0.05,-4.27,1.78,0,0,-0.86,1.41,-5.27,-3.52,-2.03,309.26,-3.68,1.04,0.35,,42.84,0,488.1,-29.97,170.82,-13.56,154.13,16.25,-10.22
Panacea Biotec,,0,2.26,-2.73,1.44,-50.06,0.02,-3.17,0.86,0.45,1.4,-38.52,1.49,-2.05,-3.57,-0.68,56.59,-59.57,1.54,0.28,,-39.82,0,60.45,-3.46,17.02,-9.09,39.64,55.51,110.17
Eros Intl.Media,,0,0.18,-5.14,0.85,-35.08,0.16,-11.14,0.81,0.29,0.02,-133.59,2.27,-29.03,-3.64,,6.36,-57.82,-67.12,,,-100,0,0,,6.11,-0.27,0.25,61.68,-1.93
Sri Nacha. Cott.,,0,0.84,-4.88,2.18,41.11,2.05,-22.07,0.38,0.68,1.33,-3.91,5.07,-3.79,-3.66,0.02,87.07,86.21,-9.68,5.63,,86.1,0,13.12,-2.97,73.92,1.35,13.29,71.91,15.54
I Power Solution,,0,1.49,-3.67,4,47.83,0.06,-3.83,4,0,,-0.12,1.06,-1.73,-3.67,-2.21,21.01,-33.89,-13.48,8.62,,14.2,0,1.93,-32.12,16.63,-0.08,4.93,0.64,47.16
Ceeta Industries,,0,3.17,-4.3,0.9,91.86,0.54,-6.67,0.73,0.3,3.84,-0.18,1.6,0.02,-3.73,,-3.79,-7.29,-4.89,0.38,2.34,1061.87,0,29.86,-3.45,11.34,0.95,2.55,19.85,67.69
ISF,,0,1.22,-4.28,6.54,-270,0.37,-5.36,6.54,0.12,,-0.74,1.29,-2.98,-3.78,,37.45,-624.17,-22.85,,,,0,0,,37.56,-0.16,0.14,50.48,-18.4
Eastcoast Steel,22.24,0,0.58,-3.52,2.97,410,0.13,-4.64,2.97,0.77,,0.51,1.32,-13.73,-3.78,-5.54,6400.06,47.09,-303.86,1.55,,-9.99,0,3871.12,1.4,6017.68,-30.53,544.14,46.28,-26.7
Triliance Poly,,0,8.06,-3.77,157.67,11.11,0.03,-3.86,157.67,0,,-0.08,1.04,-0.16,-3.79,,55.97,-12.84,4.37,,,-100,0,0,,48.36,0.04,7.73,72.63,
Gujarat Alkalies,,0,0.99,-2.89,1.2,-238.75,0.09,-3.88,0.65,0.47,6.61,-224.21,1.35,-3.87,-3.83,-1.2,282.18,31.81,-49.86,0.74,,8.37,0,316.28,2.66,232.96,-15.11,51.82,62.7,13.44
MSR India,,0,3.34,-4.42,0.16,60.73,0.53,-9.83,0.16,0,2,-4.39,2.15,-7.84,-3.84,-82,34.15,-17.25,128.2,33.33,,-52.88,0,0.98,-203.06,32.66,-19.68,2.49,48.73,-32.69
AksharChem (I),,0.17,0.92,-5.02,1.59,-55.84,0.2,-6.96,0.8,0.81,3.77,-12.14,1.44,-1.74,-3.85,-0.55,2283.36,-39.5,7.98,7.26,,-19.18,0,53.86,-193,390.77,-32.34,1916.45,63.46,13.94
Stanrose Mafat.,,0,0.68,-3.66,23.5,-66.44,0.05,-3.88,23.5,0.02,,-2.43,1.18,-7.2,-3.85,,23.47,-52.16,-64.81,46.73,,-86.2,0,0.49,-120.41,22.9,-1.65,1.8,50.85,2.57
Emami Realty Ltd,,0,,-5.59,1.45,-124.98,18.21,-461.28,0.78,0.03,-0.03,-122.39,-59.52,-2.57,-3.86,-0.3,1164.63,16.5,-7.52,2.54,,-24.41,0,305.61,14.76,776.5,-22.93,405.24,70.44,25.8
Fruition Venture,,0,4.46,-5.96,3.49,-229.41,0.35,-7.01,2.59,0.03,0.22,-0.66,1.21,-2.09,-3.88,-3.13,89.22,-24.18,3.72,0.1,,-43.9,0,108.62,-3.51,11.24,-2.1,84.11,31.72,8.06
Shreyas Shipping,,0,1.02,-6.86,1.11,-140.14,0.53,-11.28,1.05,0.22,0,-50.03,1.7,-0.91,-3.91,-1.14,291.99,-663.61,-111.49,2.79,,-10.5,0,94.11,-1.05,262.73,-0.28,29.74,73.79,16.04
Aanchal Ispat,,0,0.69,-5.48,0.82,80.75,5,-31.23,0.71,0.96,7.41,-4.37,6.79,-4.79,-3.93,-2.42,6054.45,90.69,,4.07,,28.46,0,1385.57,3.55,5644.11,-3.95,575.92,61.6,-38.18
LGB Forge,,0,13.44,-12.06,1.39,21.76,1.47,-39.33,0.76,1.09,1.67,-6.76,4.07,-1.2,-3.94,-0.2,571.35,-41.64,-7.82,4.48,,-65.97,32.78,11.73,-99.57,52.6,-103.98,524.61,53.03,23.7
Borosil Renew.,,0,6.42,-4.98,1.85,-343.83,0.66,-8.59,1.09,0.82,3.04,-76.1,1.9,-1.11,-3.94,-1.79,33192.12,201.52,-70.82,5,,15.06,0,6480.86,1.09,32436.32,,1429.59,0,5.68
Poddar Housing,,0,0.51,-6.76,1.59,-91.46,5.99,-34.9,0.15,0.04,-0.09,-65.67,6.45,-2.47,-3.95,2.94,256.4,64.58,628.32,3.29,,-15.01,0,90.96,-10.62,299.18,0.57,2.52,63.77,-48.52
Brainbees Solut.,,0,,-4.5,1.95,44.07,0.45,-8.3,0.91,0.91,2.88,-274.28,2.26,-0.61,-4,,155.57,-864.28,-240.26,915.24,,-26.09,0,0.17,-276.47,155.59,-0.24,0.04,73.09,
Nureca,497.57,0,1.47,-2.96,10.68,111.8,0.01,-3.14,7.35,0.45,1.86,0.57,1.07,0.64,-4.02,0.64,272.45,42.17,69.25,2.23,,-11.29,0,103.04,4.72,229.28,-0.24,43.7,74.94,-16.9
Munoth Capital,,0,27.25,-3.78,29.5,-22.22,0.01,-4.26,29.5,0.05,,-0.22,1.02,-0.12,-4.15,-0.54,84.96,61.57,-3.79,2.49,,66.72,0,9.72,13.48,24.17,-3.68,60.95,69.36,120.57
Kimia Bioscien.,,0,706.11,-4.8,0.88,90.51,132.42,-183.42,0.44,0.95,1.9,-1.15,335.27,1.12,-4.16,-9.7,1278.77,-13.63,163.23,2.64,,21.26,0,409.71,-27.57,1081,-18.23,211.64,64.71,35.49
Vanta Bioscience,,0,1.69,-10.17,0.75,64.03,4.01,-14.25,0.42,0.11,0.09,-2.33,5.6,-3.61,-4.16,-0.57,349.81,-60.42,0.86,0.11,,-25.74,0,307.56,-2.26,33.96,-7.48,316.64,46.75,-2.54
NDTV,,0,4.22,-3.92,1.22,-1580.25,0.44,-7.35,1.22,0.69,,-59.21,2.06,-4.47,-4.17,-0.91,2770.49,-43.36,0.44,0.29,,-63.3,0,275.1,-23.24,78.69,-23.14,2698.22,52.75,-15.27
Kallam Textiles,,0,0.21,-6.92,0.52,-68.2,1.94,-20.63,0.2,0.68,3.04,-39.51,3.32,-6.17,-4.2,0.01,112.04,19.35,6.03,0.2,,4.76,0,156.12,-0.39,31.01,-7.59,81.41,74.23,-35.7
SVP Global,,0,,-8.95,0.93,-20.29,11.55,-14767.64,0.92,0.08,6.86,-292.73,-16.35,-6.36,-4.24,-0.15,2372.43,112.7,-4.71,0.26,,10.12,0,4047.96,0.34,1062.47,-6.41,1339.33,74.84,-23.27
Maris Spinners,,0,1.45,-6.93,0.79,64.82,3.82,-35.35,0.31,1.22,3.89,-6.3,6.18,0.05,-4.26,-4.8,203.51,-63.4,-12.14,28.43,,-54.43,0,5.71,-59.02,162.36,-0.1,42.43,45.16,-17.11
Indo Rama Synth.,,0,2.87,-7.15,0.61,-41.48,3.64,-42.71,0.33,1.38,5.62,-167.44,7.63,-0.91,-4.37,-0.04,24.02,42.89,23.12,0.93,,31.83,0,16.61,1.26,15.42,-2.38,9.4,47.07,-25.44
Radhe Develop.,,0,3.15,-3.39,0.86,-1662.07,0.84,-8.51,0.24,0.05,0,-5.11,2.63,-2.06,-4.38,-2.92,27.54,459,18.34,1.77,,-28.56,0,14.46,-1.38,25.62,-1.7,2.14,69.61,4.98
Photoquip India,,0,1.94,-11.14,1.23,63.98,1.22,-29.38,0.53,0.81,2.78,-1.43,2.6,-0.17,-4.38,,7.25,-11.15,-19.4,,,,16.82,0,,6.1,-0.56,1.21,41.84,15.23
Ahimsa Industrie,,0,2.01,-4.97,3.14,-75,0.17,-6.88,1.61,0.79,2.21,-0.91,1.44,-2.54,-4.42,-0.68,63.49,73.83,37.29,0.42,,29.82,0,84.28,-3.08,35.34,-7.35,28.59,65.24,210.96
BGIL Films & Tec,,0,0.3,-2.05,7.11,-32.65,0.06,-3.46,0.8,0,0,-0.65,1.71,-12.09,-4.44,-3.36,2585.29,-51.23,-25.45,5.44,,-34.44,0,384.7,-14.38,2093.82,-40.01,493.9,66.75,
Veejay Lak. Eng.,,0,1.73,-7.11,0.96,71.98,1.42,-20.79,0.36,1.35,4.79,-3.73,3.21,-2.52,-4.46,1.07,19.23,18.67,-5.25,0.48,,46.01,0,48.33,-1.7,23.41,0.42,3.97,60.38,35.22
Astec Lifescienc,,0,5.68,-4.79,1,-1406.83,1.34,-11.86,0.51,0.47,1.45,-78.41,2.65,-3.34,-4.48,0,34.52,101.53,201.1,1.09,,10.38,0,32,-1.03,35.01,0.04,0.14,73.51,-12.89
Yash Mgmt & Sat.,34.1,0,1,-6.71,5.24,149.29,0.17,-3.32,2.64,1.17,4.02,0.69,1.5,3,-4.64,-0.59,6206.41,22,-61.92,1.95,,13.66,0,2472.96,10.39,4810.15,-4.37,1429.77,13.17,13.07
Phaarmasia,1187.95,0,3.46,-1.74,0.86,102.42,0.01,-4.93,0.45,1.02,3.42,0.03,2.91,0,-4.65,3.56,27.02,7.76,148.86,0.43,2.98,-9.43,0,83.07,-3.66,35.86,6.01,1.5,60.48,107.89
Restaurant Brand,,0,7.62,-9.09,0.21,3.3,2.28,-29.99,0.16,0.94,32.98,-216.83,4.15,-1.41,-4.68,,25.38,-18.13,4.79,,,,9.54,0,,24.82,-1.78,0.56,27.13,-16.07
Hindoo. Mills,36.77,0,0.74,-3.76,2.64,116,0.03,-5.74,1.59,1.17,3.96,1,1.51,4.98,-4.73,0.51,27.08,18.55,-9.75,0.58,,-11.8,0,30.87,2.79,17.95,-0.54,9.22,51.49,-2.38
Bohra Industries,,0,0.44,-4.18,11.79,8.3,0.01,-4.6,10.98,0,0,-2.54,1.08,-10.87,-4.75,-7.94,305.52,-27.55,-14.06,0.99,,-10.43,0,300.46,-4.45,296.08,-4.27,26.41,69.04,-60.86
Link Pharma Chem,,0,1.31,-4.93,1.05,-284.62,0.67,-10.02,0.48,1.02,2.1,-0.24,2.13,1.63,-4.79,,5.16,-17.79,-6.05,,,-100,0,0,,4.03,-0.57,1.21,26.41,-12.94
Waterbase,,0,1.77,-3.94,2.33,-459.49,0.15,-5.87,1.09,1.25,3.34,-17.68,1.53,-6.47,-4.86,-1.09,116.7,-53.78,-92.49,1.06,,-45.1,0,83.87,-7.07,88.68,-2.91,28.72,54.27,-1.94
Abhishek Infra.,,0,0.99,-3.31,2.94,-866.67,0.3,-6.18,2.94,0,,-0.29,1.93,-5.62,-4.86,-0.64,32.71,-38.94,5.58,0.78,,-27.74,0,18.78,-16.08,14.68,-7.09,18.19,40.4,77.33
Agro Phos India,,0,1.86,-4.64,1.4,-189.94,0.61,-10.67,0.7,0.94,1.76,-5.9,2.43,-3.46,-4.9,,30.73,-18.29,-1.36,1.94,,215.77,0,15.22,-18,29.5,-0.11,2.53,0,21.13
Phyto Chem (I),,0,1.97,-9.51,1.31,-10266.67,2.47,-37.95,0.75,0.41,0.88,-3.05,4.87,-3.66,-4.93,-0.82,1994.03,176.78,-6.93,1.23,,4.26,0,1092.01,-1.15,1338.38,-13.26,772.53,62.4,-21.37
Sylph Techno,,0,0.28,-5.02,18.06,-446.55,0.03,-5.48,18.06,0.31,,-2.01,0.64,-5.24,-4.96,-1.84,820.24,-418.49,696.77,88.04,,-33.23,0,9,-37.33,792.34,-3.54,27.9,59.17,-72.46
Ester Industries,,0,1.76,-7.88,1.1,-158.72,1.08,-18.11,0.77,0.63,5.49,-115.08,2.34,-3.01,-4.98,-115,16.47,-53.13,9.94,,,0,0,0,,15.73,-1.26,0.81,51.68,49.06
Spel Semiconduct,,0,24.44,-4.42,1.01,-302.46,0.84,-16.54,0.48,0.08,0.17,-8.24,4.67,-0.57,-5.04,-2.72,3727.54,-21.15,-71.09,8.95,,-14.76,0,410.62,-60.69,3674.24,-6.02,696.59,29.13,220.48
Lippi Systems,,0,0.71,-3.59,3.3,43.59,0.04,-3.9,3.3,0,,-0.88,1.11,-7.07,-5.09,-21.99,371.1,-10,26.28,4.11,,71.78,0,54.66,-74.04,224.53,-5.92,182.28,36.8,59.87
Dhani Services,,0,1.03,-7.49,5.72,23.05,0.2,-10.14,4.98,0.09,0.12,-361.93,1.43,-6.48,-5.16,-0.93,278.36,-29.12,2.78,0.28,,-43.65,0,229.42,-5.42,64.4,-7.38,218.28,58.74,52.85
Prajay Engineers,,0,0.42,-4.33,2.65,-357.06,0.35,-7.26,0.72,0.06,0.01,-41.41,1.78,-11.36,-5.17,-2.31,6.39,-33.63,10.45,0.86,,31.63,17.64,5.41,-8.13,4.67,-0.71,1.73,47.08,56.18
K G Denim,,0,2.77,-6.97,0.71,-18.74,9.54,-80.98,0.39,0.65,1.63,-41.12,17.68,-8.67,-5.27,,13.23,-36.75,-352.5,10.59,,-63,0,1.11,-32.43,11.75,-0.06,1.79,0,-17.2
Mahaveer Infoway,,0,1.13,-5.33,1.64,-38.71,0.44,-10.37,1.54,0.67,1.7,-0.43,2.04,-4.85,-5.27,-1.07,397.61,-116.94,-1.82,1.01,,15.64,0,134.67,-2.86,136.52,-23.24,262.67,59.85,18.54
Millen. Online,,0,2.86,-4.28,49.6,33.33,0.42,-6.13,10.6,0.19,0.41,-0.3,1.48,-2.63,-5.28,,33.82,-43.92,-14.42,35.42,,12.94,0,0.96,-87.5,34,-0.1,1.51,11.69,36.31
Flex Foods,,0.46,1.79,-6.72,0.96,-97.68,3.49,-29.25,0.56,0.31,1.33,-28.94,5.13,-5.09,-5.33,-0.41,3876.33,196.87,75.6,2.26,,16.11,21.47,877.65,0.35,1984.98,-13.48,2083.62,75,0.14
Epuja Spiritech,,0,3.32,-3.68,23.9,-165.52,0.16,-6.24,7.81,0.07,0,-0.77,1.4,-2.5,-5.38,-3.71,225.69,-36.52,4.06,0.25,,-4.64,0,572.23,-1.08,145.72,-13.15,80.19,53.78,5.56
Sanghi Industrie,,0,1.79,-12.42,1.07,24.16,1.88,-34.13,0.69,0.22,2.49,-365.73,3.3,-2.76,-5.45,-1.85,37.43,-55.04,-7.09,2.51,,-52.95,0,10.84,-6.37,27.19,-2.15,10.76,38.39,-32.95
Shah Alloys,,0,12.59,-3.28,0.38,-398.61,7.13,-43.78,0.04,2.12,5.53,-14.31,24.81,-6.82,-5.46,-5.97,1247.82,3565.2,-197.18,4.24,,18.22,0,310.59,-2.24,1317.88,-3.06,28.16,0,27.03
Command Polymers,,0,1.8,-7.28,1.44,-732.26,0.71,-12.16,0.51,0.4,1.91,-1.96,1.78,-3.71,-5.46,-2.74,20.29,-36.89,-47.8,0.74,,-50.98,0,25.69,-2.72,19.12,-0.79,3.28,52.96,12.84
Subex,,0,3.89,-8.51,2.32,54.75,0.08,-12.17,2.32,0.51,,-34.41,1.83,-1.23,-5.48,-0.2,295.03,23.21,4.43,7.56,,-20.62,0,34.77,14.64,262.98,18.6,37.37,33.98,-22.06
G K P Printing,,0,0.9,-4.94,2.6,-341.67,0.15,-7.89,1.95,0.79,3.68,-1.74,1.66,-6.28,-5.5,-0.86,57.53,31.44,-6.71,0.26,,-33.26,0,113.55,1.18,30.09,-4.19,28.94,73.53,-21.76
Global Offshore,,0,3.16,-7.99,0.42,91.71,0.45,-22.95,0.24,0.2,0.13,-3.97,2.38,-0.24,-5.54,-9.03,98.37,-8.78,-10.97,0.49,,20.63,0,145.98,-9.41,71.9,-8.56,30.27,72.98,192.12
Cargosol Logist.,,0,1.33,-6.65,1.21,-201.91,1.29,-17.32,1.21,1.77,,-4.27,2.85,-5.01,-5.55,-40,24.67,-32.46,15.73,12.38,,-23.57,0,2.01,-45.27,24.88,-1.24,0.64,54.08,-44.69
Bang Overseas,,0,0.79,-5.19,2.14,-1072.73,0.34,-8.98,0.92,0.83,1.73,-11.61,1.81,-12.98,-5.57,-1.9,32.11,-18.14,290.3,15.76,,-71.56,0,1.24,-142.74,19.54,-6.25,12.65,48.45,10.12
Reliable Ventur.,,0,0.79,-4.08,0.79,16.46,0.02,-4.88,0.79,0.06,5.13,-1.37,1.2,-6.52,-5.58,,7.66,-51.07,-1.7,,,,0,0,,7.56,-0.11,0.15,36.36,97.28
Sterling Green,,0,1.5,-5.72,0.31,-273.24,0.99,-13.62,0.1,0.06,0.21,-2.65,2.56,-6.84,-5.64,-0.55,90.15,35.21,80.78,0.7,,0.92,29.96,94.14,2.38,66.01,-9.15,24.37,41.81,19.84
Polytex India,,0,2.92,-5.45,0.39,-150,0.06,-5.99,0.39,0,,-0.15,1.13,-1.96,-5.73,,5.38,134.5,,62,18.82,-42.86,0,0.08,-87.5,4.96,,0.63,26.46,50.94
Texel Industries,,0,3.93,-8.08,0.67,33.19,1.48,-40.55,0.4,0.92,4.04,-7.63,6.3,-3.04,-5.73,-5,22.62,-1131,-5.99,1.74,,-30.43,0,10.24,-3.52,17.86,-0.2,5.04,29.27,38.59
Swadha Nature,248,0,,-5.34,54.5,,0.88,-10.37,54.5,0.04,,0.02,1.82,0.74,-5.74,-0.71,363.7,596.23,-30.28,,,-100,23.78,0,,271.1,-0.27,93.05,48.05,
Lime Chemicals,,0,10.27,-4.03,0.48,64.86,2.9,-24.62,0.44,0.88,9.33,-0.13,6.84,-0.44,-5.85,-3.09,39.32,-151.23,21.66,1.71,,35.31,38.85,21.92,-3.42,37.4,-1.44,2.08,73.14,-0.54
India Steel,,0,7.17,-4.31,0.48,46.7,2.34,-39.5,0.06,0,0.03,-16.41,10.17,-1.81,-5.86,,106.92,1188,-168.16,,,,0.74,0,,95.23,-0.23,11.74,57.2,250.98
